ResponseId_pre	Semester_pre	Q1_pre	Q8_pre	Q9_1_pre	Q9_2_pre	Q9_3_pre	Q9_4_pre	Q9_5_pre	Q9_6_pre	Q9_7_pre	Q9_8_pre	Q9_9_pre	Q9_10_pre	Q10_1_pre	Q10_2_pre	Q10_3_pre	Q10_4_pre	Q10_5_pre	Q10_6_pre	Q10_7_pre	Q10_8_pre	Q10_9_pre	Q10_10_pre	Q10_11_pre	Q10_12_pre	Q10_13_pre	Q10_14_pre	Q10_15_pre	Q10_16_pre	Q10_17_pre	Q10_18_pre	Q10_19_pre	Q10_20_pre	Q10_21_pre	Q10_22_pre	Q10_23_pre	Q10_24_pre	Q10_25_pre	Q11_1_pre	Q11_2_pre	Q11_3_pre	Q11_4_pre	Q11_5_pre	Q11_6_pre	Q11_7_pre	Q11_8_pre	Q11_9_pre	Q11_10_pre	Q11_11_pre	Q11_12_pre	Q11_13_pre	Q11_14_pre	Q11_15_pre	Q11_16_pre	Q11_17_pre	Q11_18_pre	Q11_19_pre	Q11_20_pre	Q11_21_pre	Q11_22_pre	Q19_1_pre	Q19_2_pre	Q19_3_pre	Q19_4_pre	Q19_5_pre	Q19_6_pre	Q19_7_pre	Q19_8_pre	Q19_9_pre	Q19_10_pre	Q2_pre	Q3_pre	Q4_pre	Q5_pre	Q6_pre	Q7_pre	Q8_post	Q9_1_post	Q9_2_post	Q9_3_post	Q9_4_post	Q9_5_post	Q9_6_post	Q9_7_post	Q9_8_post	Q9_9_post	Q9_10_post	Q9_11_post	Q9_12_post	Q9_13_post	Q9_14_post	Q9_15_post	Q9_16_post	Q9_17_post	Q9_18_post	Q9_19_post	Q9_20_post	Q9_21_post	Q9_22_post	Q9_23_post	Q9_24_post	Q9_25_post	Q10_1_post	Q10_2_post	Q10_3_post	Q10_4_post	Q10_5_post	Q10_6_post	Q10_7_post	Q10_8_post	Q10_9_post	Q10_10_post	Q10_11_post	Q10_12_post	Q10_13_post	Q10_14_post	Q10_15_post	Q10_16_post	Q10_17_post	Q10_18_post	Q10_19_post	Q10_20_post	Q10_21_post	Q11_1_post	Q11_2_post	Q11_3_post	Q11_4_post	Q13_1_post	Q13_2_post	Q13_3_post	Q13_4_post	Q13_5_post	Q13_6_post	Q13_7_post	Q13_8_post	Q13_9_post	Q13_10_post	Q13_11_post	Q13_12_post	Q13_13_post	Q13_14_post	Q13_15_post	Q13_16_post	Q13_17_post	Q13_18_post	Q13_19_post	Q13_20_post	Q13_21_post	Q13_22_post	Q2_post	Q3_post	Q4_post	Q5_post	Q6_post	Q7_post
R_UJQK4QsqmP7I0WR	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	NA	Much	Some	None	Some	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Little	Much	Extensive	Extensive	Extensive	Some	Much	Extensive	None	Agree	Agree	Agree	Strongly agree	Agree	Neutral	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Neutral	Disagree	Strongly disagree	Neutral	Agree	Strongly disagree	Strongly agree	Neutral	4	1	4	4	1	3	4	4	3	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a Master's degree in a science-related field	Much	Much	Some	Much	Extensive	Extensive	Some	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Some	Extensive	Some	Much	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	N.A./Prefer not to answer	Moderate gain	Large gain	Large gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Large gain	Very large gain	Agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Strongly agree	NA	Agree	Neutral	Disagree	Disagree	Neutral	Agree	Agree	Agree	Agree	Neutral	Agree	Disagree	Strongly disagree	Agree	Strongly disagree	Strongly disagree	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_xu9Uyh2HEittLvb	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Moderately important	Very important	Some	Much	None	Extensive	Little	Little	Extensive	Extensive	Extensive	Extensive	Much	Little	Extensive	Extensive	Extensive	Much	Extensive	Little	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Strongly agree	Agree	Agree	Strongly agree	Disagree	Agree	Strongly disagree	Strongly disagree	Agree	Agree	Disagree	Strongly agree	Strongly agree	Agree	Agree	Strongly disagree	Disagree	Strongly agree	Agree	Neutral	Agree	Strongly disagree	3	4	3	4	4	3	3	4	4	2	Female	White	I am a first-year college undergraduate.	Yes	bio	Definitely yes	I now plan to pursue a medical degree	Little	Little	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Much	Much	Extensive	Some	None	None	None	Extensive	Extensive	N.A./Prefer not to answer	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Small gain	Very large gain	Very large gain	Very large gain	Very large gain	Small gain	Small gain	Large gain	Large gain	Large gain	Large gain	Small gain	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Agree	Disagree	Agree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Disagree	Neutral	Agree	Agree	Agree	Agree	Disagree	Agree	Disagree	Agree	Agree	Disagree	Female	White	I am a first-year college undergraduate.	Yes	Bio	Prefer not to answer
R_PHW08SjkB9tmiAN	Fall 2021	Agree	My goal is to go to school for other health professions.	Moderately important	Moderately important	Very important	Very important	Moderately important	Moderately important	Moderately important	Very important	Moderately important	Not important	Some	Much	None	Much	Some	None	Little	Some	Much	Much	Some	Extensive	Extensive	Extensive	Much	Little	Some	Little	Some	Some	Much	Much	Much	None	None	Agree	Agree	Agree	Disagree	Agree	Agree	Disagree	Disagree	Neutral	Strongly agree	Disagree	Strongly agree	Agree	Neutral	Neutral	Agree	Strongly disagree	Agree	Disagree	Agree	Agree	Disagree	2	4	2	2	3	4	3	2	4	4	Female	White	I am a first-year college undergraduate.	No	None yet	Definitely yes	I now plan to pursue a Master's degree in a science-related field	Much	Some	Some	Some	Much	Extensive	Some	Much	Much	Much	Much	Much	Extensive	Some	Much	Extensive	Extensive	Much	Some	None	None	None	None	Much	None	Small gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Small gain	Moderate gain	No gain or very small gain	Agree	Agree	Agree	Disagree	Agree	Agree	Agree	Disagree	Disagree	Neutral	Disagree	Disagree	Disagree	Agree	Agree	Agree	Agree	Neutral	Neutral	Agree	Disagree	Agree	Disagree	Agree	Disagree	Disagree	Female	White	I am a first-year college undergraduate.	No	Biology	Definitely yes
R_Wv4chc3Szsz03Jf	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Very important	Very important	Not important	Moderately important	Little	Much	Little	Some	Some	Some	Much	Much	Much	Much	Much	Little	Much	Much	Some	Some	Much	Little	Some	Much	Much	Much	Much	Little	Little	Neutral	Disagree	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Strongly disagree	Strongly agree	Agree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	4	3	4	4	1	4	3	5	3	5	Female	White	I am a first-year college undergraduate.	No	N/A	Definitely yes	I now plan to pursue a medical degree	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Moderate gain	Very large gain	Large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Neutral	Strongly agree	Disagree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Strongly disagree	Strongly agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Female	White	I am a first-year college undergraduate.	No	N/A	Definitely yes
R_ClwvNEgy4BfcoJX	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Moderately important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Moderately important	NA	Some	Some	Little	Much	Much	Much	Much	Much	Much	Much	Some	Some	Much	Much	Some	Much	Much	Some	Much	Much	Much	Much	Much	Much	Some	Agree	Neutral	Agree	Agree	Neutral	Neutral	Strongly disagree	Disagree	Disagree	Agree	Disagree	Disagree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Agree	Neutral	Disagree	Neutral	Neutral	3	2	2	3	3	2	3	4	3	4	Female	Asian American	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a Doctoral degree in a science-related field	Much	Much	Some	Some	Extensive	Much	Much	Much	Much	Extensive	Extensive	Much	Much	Extensive	Some	Much	Much	Extensive	Little	Little	Little	Little	Extensive	Extensive	Some	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Large gain	Small gain	Moderate gain	Large gain	Large gain	Moderate gain	Small gain	Very large gain	Large gain	Small gain	Large gain	Moderate gain	Small gain	Moderate gain	Large gain	Small gain	Agree	Agree	Agree	Neutral	Strongly agree	Disagree	Agree	Neutral	Disagree	Disagree	Disagree	Disagree	Disagree	Agree	Neutral	Disagree	Agree	Disagree	Neutral	Disagree	Disagree	Agree	Neutral	Disagree	Disagree	Disagree	Female	Asian American	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_6hdbbcptxLVTr9v	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Moderately important	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Not important	Moderately important	Some	Much	Little	Much	Some	Some	Some	Some	Much	Much	Little	Little	Much	Much	Little	Little	Little	None	Little	Little	Much	Much	Some	Some	None	Strongly agree	Agree	Strongly agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Disagree	Agree	Strongly agree	Neutral	Agree	Strongly agree	Agree	Disagree	Disagree	Strongly disagree	Agree	Agree	Neutral	Agree	Disagree	4	4	4	3	3	3	2	3	5	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I have not considered any post-graduate education	Much	Some	Extensive	Much	Much	Extensive	Some	Little	Much	Much	Extensive	Much	Extensive	Extensive	Little	Much	Some	Extensive	Little	None	None	None	Some	Much	N.A./Prefer not to answer	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Large gain	Small gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Agree	Agree	Agree	Agree	Agree	Neutral	Agree	Neutral	Disagree	Disagree	Strongly disagree	Disagree	Agree	Strongly agree	Disagree	Agree	Strongly agree	Agree	Disagree	Disagree	Disagree	Neutral	Agree	Neutral	Neutral	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_2vk3AFqa9nOKIzL	Fall 2021	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Not important	Moderately important	Moderately important	Moderately important	Very important	Very important	Very important	Very important	Not important	NA	Much	Much	Little	Extensive	Some	Little	Extensive	Extensive	Extensive	Extensive	Little	Little	Extensive	Extensive	Extensive	Much	Much	Much	Some	Extensive	Extensive	Much	Much	Some	Little	Strongly agree	Agree	Agree	Neutral	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Neutral	Agree	Agree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Strongly disagree	Neutral	Strongly disagree	4	2	4	4	2	4	2	4	3	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a medical degree	Some	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Much	Extensive	Some	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Extensive	Extensive	N.A./Prefer not to answer	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Moderate gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Moderate gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Neutral	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Disagree	Neutral	Agree	Agree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Agree	Disagree	Neutral	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_2Sl9iI13fQ5JgRL	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Very important	Very important	Very important	Moderately important	Very important	Very important	Very important	Moderately important	NA	Some	Little	None	Little	Little	Little	Extensive	Some	Some	Some	Some	None	Little	Little	Little	Little	Little	Some	Much	Much	Some	Some	Much	Little	Some	Strongly agree	Neutral	Strongly agree	Disagree	Disagree	Disagree	Strongly disagree	Strongly disagree	Disagree	Agree	Neutral	Disagree	Agree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Agree	Agree	Strongly disagree	1	2	3	1	4	3	4	1	2	1	Female	White	I am a first-year college undergraduate.	No	Na	Definitely yes	I now plan to pursue a medical degree	Much	Much	Extensive	Much	Extensive	Extensive	Some	Some	Extensive	Extensive	Extensive	Much	Extensive	Much	Much	Extensive	Extensive	Extensive	Much	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Much	Extensive	N.A./Prefer not to answer	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Agree	Agree	Agree	Agree	Strongly agree	Neutral	Strongly agree	Agree	Disagree	Agree	Strongly disagree	Strongly disagree	Neutral	Agree	Disagree	Disagree	Agree	Agree	Agree	Neutral	Disagree	Agree	Disagree	Agree	Disagree	Strongly disagree	Female	White	I am a first-year college undergraduate.	No	N/A	Definitely yes
R_0MTMTg1q23sj6JH	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Moderately important	Very important	Very important	Very important	Moderately important	Moderately important	Moderately important	Moderately important	Moderately important	Much	Some	Little	Some	Little	Little	Little	Some	Much	Some	Some	Some	Much	Much	Some	Much	Much	Some	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Strongly agree	Agree	Agree	Agree	Neutral	Neutral	Disagree	Disagree	NA	Strongly agree	Neutral	Strongly agree	Agree	Agree	Neutral	Neutral	Disagree	Strongly agree	Agree	Neutral	Agree	Disagree	3	2	3	4	3	4	3	3	3	3	Female	Asian American	I am a first-year college undergraduate.	No	Biology with a minor in psychology	Definitely yes	I now plan to pursue a medical degree	Some	Much	Much	Some	Much	Much	Some	Some	Extensive	Much	Extensive	Much	Extensive	Extensive	Much	Much	Much	Much	Much	None	None	None	Much	Extensive	Some	Large gain	Moderate gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Moderate gain	Strongly agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Neutral	Agree	Agree	Neutral	Disagree	Agree	Agree	Agree	Agree	Agree	Neutral	Neutral	Disagree	Agree	Agree	Agree	Agree	Disagree	Female	Asian American	I am a first-year college undergraduate.	No	psychology	I am not sure
R_12tlGPJLznEcb9a	Fall 2021	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Moderately important	Very important	Some	Much	Little	Much	None	None	Extensive	Extensive	Extensive	Extensive	Some	Some	Some	Some	Some	Some	Some	Some	Little	Some	Some	Extensive	Extensive	Little	None	Strongly agree	Neutral	Strongly agree	Disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Disagree	Disagree	Agree	Neutral	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Neutral	Agree	Strongly disagree	4	3	4	4	2	3	2	4	3	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	I now plan to pursue a medical degree	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	N.A./Prefer not to answer	N.A./Prefer not to answer	N.A./Prefer not to answer	Extensive	Extensive	N.A./Prefer not to answer	Moderate gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Very large gain	Very large gain	Moderate gain	Very large gain	Very large gain	Large gain	Large gain	Moderate gain	Large gain	Large gain	Very large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Strongly agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Neutral	Strongly agree	Strongly disagree	Disagree	Strongly agree	Neutral	Strongly disagree	Strongly disagree	Strongly disagree	Strongly agree	Neutral	Neutral	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology, Pre-med	Definitely yes
R_2tuqYg1OToL6WbB	Fall 2021	Agree	My goal is to go to graduate school for a Masters or a Ph.D. degree in a social science (including psychology, sociology, anthropology, economics, and political science).	Moderately important	Moderately important	Moderately important	Moderately important	Very important	Moderately important	Very important	Very important	Moderately important	Moderately important	Much	Much	Little	Extensive	Much	Much	Extensive	Extensive	Extensive	Extensive	Some	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Little	Little	Agree	Neutral	Agree	Neutral	Strongly disagree	Disagree	Disagree	Strongly disagree	Disagree	Strongly agree	Neutral	Neutral	Agree	Agree	Disagree	Disagree	Disagree	Strongly agree	Neutral	Agree	Agree	Strongly disagree	3	4	2	1	3	2	3	3	1	3	Female	White	I am a first-year college undergraduate.	No	N/A	It is likely	I now plan to pursue a Doctoral degree in a field other than science	Much	Much	Extensive	Extensive	Much	Little	Much	Some	Extensive	Extensive	Much	Little	Much	Some	Some	Some	Some	Little	Little	None	None	None	Extensive	Extensive	Some	Moderate gain	Very large gain	Very large gain	Very large gain	Large gain	Large gain	Moderate gain	Very large gain	Very large gain	Moderate gain	Large gain	Large gain	Very large gain	Very large gain	Small gain	Large gain	Very large gain	Very large gain	Large gain	Large gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Neutral	Disagree	Disagree	Strongly disagree	Strongly disagree	Disagree	Strongly agree	Neutral	Neutral	Agree	Strongly agree	Disagree	Disagree	Disagree	Strongly agree	Neutral	Agree	Strongly agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	No	N/A	It is unlikely
