"value"	"Question"
"StartDate"	"Start Date"
"EndDate"	"End Date"
"Status"	"Response Type"
"IPAddress"	"IP Address"
"Progress"	"Progress"
"Duration..in.seconds."	"Duration (in seconds)"
"Finished"	"Finished"
"RecordedDate"	"Recorded Date"
"ResponseId"	"Response ID"
"RecipientLastName"	"Recipient Last Name"
"RecipientFirstName"	"Recipient First Name"
"RecipientEmail"	"Recipient Email"
"ExternalReference"	"External Data Reference"
"LocationLatitude"	"Location Latitude"
"LocationLongitude"	"Location Longitude"
"DistributionChannel"	"Distribution Channel"
"UserLanguage"	"User Language"
"Q8"	"This question is about how the experience of this course influenced your plans about postgraduate education.After taking this course:"
"Q9_1"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - A scripted lab or project in which the students know the expected outcome"
"Q9_2"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - A lab or project in which only the instructor knows the outcome"
"Q9_3"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - A lab or project where no one knows the outcome"
"Q9_4"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - At least one project that is assigned and structured by the instructor"
"Q9_5"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - A project in which students have some input into the research process and/or what is being studied"
"Q9_6"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - A project entirely of student design"
"Q9_7"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Work individually"
"Q9_8"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Work as a whole class"
"Q9_9"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Work in small groups"
"Q9_10"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Become responsible for a part of the project"
"Q9_11"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Read primary scientific literature"
"Q9_12"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Write a research proposal"
"Q9_13"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Collect data"
"Q9_14"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Analyze data"
"Q9_15"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Present results orally"
"Q9_16"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Present results in written papers or reports"
"Q9_17"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Present posters"
"Q9_18"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Critique the work of other students"
"Q9_19"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Listen to lectures"
"Q9_20"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Read a textbook"
"Q9_21"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Work on problem sets"
"Q9_22"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Take tests in class"
"Q9_23"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Discuss reading materials in class"
"Q9_24"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Maintain a lab notebook"
"Q9_25"	"Please rate how much learning you gained from each element you experienced in this course.
The scale measuring your gain is from (no or very small gain) to (very large gain). Some elements may
not have happened at all. If the item is not relevant or you prefer not to answer, please choose the ""not
applicable"" option. 
If students were expected to do the following course elements, what would be their level of gained experience? - Computer modeling"
"Q10_1"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Clarification of a career path"
"Q10_2"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Skill in the interpretation of results"
"Q10_3"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Tolerance for obstacles faced in the research process"
"Q10_4"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Readiness for more demanding research"
"Q10_5"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Understanding how knowledge is constructed"
"Q10_6"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Understanding of the research process in your field"
"Q10_7"	"In this section of the survey you will be asked to consider a variety of possible benefits you may
have gained from your research experience. If for any reason you prefer not to answer, or consider
the question irrelevant to you, please choose the ""Not applicable / Prefer not to answer"" option - Ability to integrate theory and practice"
