ResponseId_pre	Semester	Q1_pre	Q8_pre	Q9_1_pre	Q9_2_pre	Q9_3_pre	Q9_4_pre	Q9_5_pre	Q9_6_pre	Q9_7_pre	Q9_8_pre	Q9_9_pre	Q9_10_pre	Q10_1_pre	Q10_2_pre	Q10_3_pre	Q10_4_pre	Q10_5_pre	Q10_6_pre	Q10_7_pre	Q10_8_pre	Q10_9_pre	Q10_10_pre	Q10_11_pre	Q10_12_pre	Q10_13_pre	Q10_14_pre	Q10_15_pre	Q10_16_pre	Q10_17_pre	Q10_18_pre	Q10_19_pre	Q10_20_pre	Q10_21_pre	Q10_22_pre	Q10_23_pre	Q10_24_pre	Q10_25_pre	Q11_1_pre	Q11_2_pre	Q11_3_pre	Q11_4_pre	Q11_5_pre	Q11_6_pre	Q11_7_pre	Q11_8_pre	Q11_9_pre	Q11_10_pre	Q11_11_pre	Q11_12_pre	Q11_13_pre	Q11_14_pre	Q11_15_pre	Q11_16_pre	Q11_17_pre	Q11_18_pre	Q11_19_pre	Q11_20_pre	Q11_21_pre	Q11_22_pre	Q19_1_pre	Q19_2_pre	Q19_3_pre	Q19_4_pre	Q19_5_pre	Q19_6_pre	Q19_7_pre	Q19_8_pre	Q19_9_pre	Q19_10_pre	Q2_pre	Q3_pre	Q4_pre	Q5_pre	Q6_pre	Q7_pre	Q8_post	Q9_1_post	Q9_2_post	Q9_3_post	Q9_4_post	Q9_5_post	Q9_6_post	Q9_7_post	Q9_8_post	Q9_9_post	Q9_10_post	Q9_11_post	Q9_12_post	Q9_13_post	Q9_14_post	Q9_15_post	Q9_16_post	Q9_17_post	Q9_18_post	Q9_19_post	Q9_20_post	Q9_21_post	Q9_22_post	Q9_23_post	Q9_24_post	Q9_25_post	Q10_1_post	Q10_2_post	Q10_3_post	Q10_4_post	Q10_5_post	Q10_6_post	Q10_7_post	Q10_8_post	Q10_9_post	Q10_10_post	Q10_11_post	Q10_12_post	Q10_13_post	Q10_14_post	Q10_15_post	Q10_16_post	Q10_17_post	Q10_18_post	Q10_19_post	Q10_20_post	Q10_21_post	Q11_1_post	Q11_2_post	Q11_3_post	Q11_4_post	Q13_1_post	Q13_2_post	Q13_3_post	Q13_4_post	Q13_5_post	Q13_6_post	Q13_7_post	Q13_8_post	Q13_9_post	Q13_10_post	Q13_11_post	Q13_12_post	Q13_13_post	Q13_14_post	Q13_15_post	Q13_16_post	Q13_17_post	Q13_18_post	Q13_19_post	Q13_20_post	Q13_21_post	Q13_22_post	Q2_post	Q3_post	Q4_post	Q5_post	Q6_post	Q7_post
R_1KcAO3CsSDCgObE	Fall 2022	Agree	My goal is to go to graduate school for a Masters Degree in the life sciences	Moderately important	Moderately important	Very important	Very important	Moderately important	Very important	Very important	Very important	Moderately important	Very important	Some	Much	None	Some	Some	Little	Much	Much	Much	Much	Much	None	Much	Much	Much	Some	Some	Little	Much	Much	Much	Much	Much	Much	Little	Strongly agree	Neutral	Agree	Agree	Disagree	Neutral	Neutral	Neutral	Disagree	Agree	Neutral	Agree	Agree	Neutral	Neutral	Disagree	Disagree	Strongly agree	Neutral	Strongly disagree	Agree	Neutral	4	4	4	3	3	4	2	5	5	5	Female	Asian American	I am a second-year college undergraduate	No	None	It is likely	My goal is to go to graduate school for a Masters Degree in the life sciences	Some	Much	Some	Extensive	Much	Much	Some	Extensive	Extensive	Extensive	Much	Much	Extensive	Much	Extensive	Much	Extensive	Extensive	Extensive	Little	Little	Little	Much	Extensive	Extensive	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Moderate gain	Large gain	Moderate gain	Very large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Neutral	Strongly agree	Agree	Agree	Agree	Disagree	Strongly agree	Disagree	Disagree	Neutral	Strongly disagree	Disagree	Neutral	Strongly agree	Neutral	Agree	Agree	Neutral	Agree	Neutral	Disagree	Agree	Neutral	Neutral	Neutral	Disagree	Female	Asian American	I am a second-year college undergraduate	No	I have not declared a major or concentration	Definitely yes
R_1Nzg1Cgj4pL86qP	Fall 2022	Agree	My goal is to go to school for other health professions.	Moderately important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Some	Some	Some	Some	Some	Little	Much	Much	Much	Much	Little	Little	Much	Much	Some	Some	Some	Some	Much	Much	Much	Much	Much	Much	Much	Agree	Agree	Agree	Agree	Neutral	Disagree	Neutral	Disagree	Disagree	Neutral	Disagree	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Neutral	Neutral	Neutral	Agree	Disagree	2	3	3	2	3	2	3	3	2	3	Female	White	I am a first-year college undergraduate.	Yes	Biology	It is likely	My goal is to go to school for other health professions.	Some	Some	Extensive	Extensive	Extensive	Extensive	Much	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Extensive	Extensive	Little	Little	Little	None	Extensive	Extensive	Much	Very large gain	Very large gain	Large gain	Large gain	Large gain	Large gain	Moderate gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Agree	Agree	Neutral	Disagree	Disagree	Disagree	Neutral	Strongly agree	Neutral	Neutral	Strongly agree	Agree	Disagree	Disagree	Disagree	Strongly agree	Disagree	Agree	Strongly agree	Disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_OcYuQGbzYSCoYWB	Fall 2022	Agree	My goal is to go to school for a medical degree (M.D.).	Not important	Very important	Moderately important	Very important	Very important	Very important	Very important	Very important	Moderately important	Moderately important	Some	Extensive	Little	Extensive	Little	Little	Much	Extensive	Extensive	Extensive	Little	Little	Much	Much	Some	Little	Much	Some	Extensive	Extensive	Much	Extensive	Extensive	Much	None	Agree	Neutral	Agree	NA	Strongly disagree	Disagree	Disagree	Strongly disagree	Disagree	Strongly agree	Disagree	Neutral	Strongly agree	Agree	Disagree	Strongly disagree	Strongly disagree	Agree	Strongly disagree	Neutral	Neutral	Strongly disagree	5	3	5	2	2	3	4	4	4	6	Female	White	I am a second-year college undergraduate	Yes	Biology major	Definitely yes	My goal is to go to school for a medical degree (M.D.).	Much	Much	Much	Extensive	Extensive	Extensive	Much	Some	Extensive	Extensive	Much	Some	Extensive	Extensive	Some	Extensive	Some	Extensive	Some	None	N.A./Prefer not to answer	None	Extensive	Extensive	Some	Moderate gain	Large gain	Moderate gain	Large gain	Small gain	Moderate gain	Moderate gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Very large gain	Large gain	Large gain	Very large gain	Large gain	Moderate gain	Large gain	Large gain	Large gain	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Strongly agree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Neutral	Disagree	Agree	Strongly disagree	Female	White	I am a second-year college undergraduate	No	Biology major	Definitely yes
R_vkP9Rfkk6LIMaLn	Fall 2022	Agree	My goal is to go to school for a medical degree (M.D.).	Not important	Moderately important	Very important	Very important	Very important	Very important	Moderately important	Very important	Not important	Not important	Some	Much	Little	Some	None	Little	Much	Much	Extensive	Much	Little	None	Much	Much	Little	Extensive	Extensive	None	Little	Much	Much	Extensive	Some	Little	None	Agree	Neutral	Agree	Disagree	Disagree	Strongly disagree	Strongly disagree	Neutral	Agree	Agree	Strongly agree	Neutral	Agree	Disagree	Neutral	Disagree	Strongly disagree	Neutral	Neutral	Disagree	Neutral	Strongly disagree	4	5	4	4	2	4	3	4	5	5	Female	White	I am a first-year college undergraduate.	Yes	Biology with pre-med	Definitely yes	My goal is to go to school for a medical degree (M.D.).	Little	Some	Extensive	Some	Much	Extensive	Some	Some	Much	Much	Extensive	Some	Much	Much	Much	Extensive	Some	Much	Little	Little	Little	Little	Some	Extensive	Some	Moderate gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Moderate gain	Moderate gain	Large gain	Very large gain	Moderate gain	Large gain	Very large gain	Very large gain	Large gain	Very large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Agree	Agree	Strongly agree	Strongly agree	Agree	Neutral	Agree	Neutral	Disagree	Disagree	Strongly disagree	Disagree	Neutral	Agree	Neutral	Disagree	Agree	Strongly disagree	Neutral	Agree	Strongly disagree	Agree	Neutral	Disagree	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_wXJ1LPN3sSWAbBv	Fall 2022	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Very important	Much	Little	Little	Much	Much	Much	Much	Little	Some	Much	Little	Some	Some	Some	Little	Little	Some	Some	Some	Much	None	Some	Some	Some	None	Agree	Agree	Agree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Neutral	Agree	Agree	Neutral	Strongly agree	Neutral	Disagree	Agree	Disagree	Strongly disagree	Agree	Neutral	Agree	Strongly agree	Strongly agree	1	6	2	6	6	3	6	1	1	5	Male	Black or African American	I am a second-year college undergraduate	No	I have not declared	It is likely	Not applicable/Prefer not to answer.	Much	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	Extensive	None	None	Little	None	Extensive	Extensive	Extensive	Small gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Very large gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neutral	Strongly disagree	Strongly disagree	Strongly disagree	Agree	Strongly agree	Neutral	Strongly agree	Agree	Neutral	Neutral	Neutral	Strongly disagree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly disagree	Male	Black or African American	I am a second-year college undergraduate	No	No major	It is likely
R_2f84d7KiiXxC1gS	Fall 2022	Agree	My goal does not include graduate education for at least the near future.	Moderately important	Very important	Moderately important	Very important	Very important	Very important	Very important	Very important	Moderately important	Moderately important	Extensive	Much	Some	Some	Much	Some	Some	Some	Much	Some	Some	Little	Much	Much	Some	Much	Some	Some	Much	Some	Much	Much	Much	Some	Little	Agree	Agree	Strongly agree	Neutral	Disagree	Neutral	Strongly disagree	Disagree	Disagree	Agree	Disagree	Agree	Strongly agree	Neutral	Neutral	Disagree	Strongly disagree	Strongly agree	Neutral	Disagree	Neutral	Strongly disagree	2	3	4	4	4	3	2	4	4	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal does not include graduate education for at least the near future.	Some	Some	Extensive	Some	Extensive	Much	Some	Some	Much	Much	Much	Some	Extensive	Extensive	Extensive	Extensive	Much	Much	Little	None	Little	None	Some	Extensive	Some	Small gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Moderate gain	Large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Small gain	Small gain	Moderate gain	Agree	Agree	Agree	Strongly agree	Agree	Neutral	Agree	Agree	Disagree	Agree	Disagree	Disagree	Neutral	Agree	Disagree	Neutral	Strongly agree	Agree	Neutral	Disagree	Disagree	Agree	Neutral	Neutral	Disagree	Disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_RWhLaTmYZ1U1vTr	Fall 2022	Agree	My goal is to go to school for other health professions.	Moderately important	Very important	Very important	Very important	Very important	Very important	Very important	Moderately important	Moderately important	Very important	Some	Much	Some	Extensive	Much	Some	Much	Much	Much	Extensive	Much	Some	Much	Much	Much	Much	Much	Much	Extensive	Extensive	Much	Extensive	Extensive	Extensive	Much	Agree	Disagree	Agree	Disagree	Disagree	Disagree	Strongly disagree	Strongly disagree	Neutral	Agree	Strongly agree	Neutral	Agree	Neutral	Agree	Disagree	Disagree	Strongly agree	Neutral	Disagree	Agree	Strongly disagree	2	5	3	2	2	2	5	5	5	4	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal is to go to school for other health professions.	Extensive	Extensive	Extensive	Extensive	Extensive	Much	Much	Some	Extensive	Extensive	Much	Much	Extensive	Extensive	Much	Much	Some	Much	Much	Much	Some	Some	Extensive	Much	Some	Moderate gain	Large gain	Large gain	Large gain	Large gain	Very large gain	Large gain	Very large gain	Large gain	Very large gain	Large gain	Large gain	Very large gain	Large gain	Large gain	Large gain	Very large gain	Large gain	Moderate gain	Large gain	Moderate gain	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Neutral	Neutral	Disagree	Disagree	Disagree	Disagree	Disagree	Agree	Agree	Neutral	Agree	Agree	Neutral	Disagree	Disagree	Strongly disagree	Agree	Agree	Disagree	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_3HUj6QaclNhGqb7	Fall 2022	Agree	My goal is to go to school for a medical degree (M.D.).	Moderately important	Very important	Moderately important	Very important	Very important	Moderately important	Moderately important	Very important	Not important	Not important	Much	Much	Little	Much	None	None	Much	Much	Much	Much	Some	Little	Some	Some	Little	Little	Some	Some	Much	Much	Extensive	Extensive	Extensive	Little	Little	Strongly agree	Neutral	Strongly agree	Disagree	Strongly disagree	Disagree	Disagree	Strongly disagree	Disagree	Strongly agree	Agree	Neutral	Agree	Neutral	Disagree	Disagree	Disagree	Agree	Agree	Agree	Neutral	Disagree	4	3	2	5	5	3	2	5	5	1	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal is to go to school for a medical degree (M.D.).	Some	Much	Extensive	Some	Much	Extensive	Much	Much	Extensive	Extensive	Much	Extensive	Extensive	Much	Much	Extensive	Extensive	Much	Some	Little	Much	Much	Much	Extensive	Extensive	Moderate gain	Large gain	Large gain	Very large gain	Large gain	Very large gain	Very large gain	Large gain	Moderate gain	Large gain	Small gain	Small gain	Very large gain	Very large gain	Small gain	Very large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Small gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Disagree	Strongly agree	Disagree	Disagree	Strongly disagree	Disagree	Disagree	Disagree	Agree	Disagree	Agree	Agree	Neutral	Disagree	Disagree	Disagree	Agree	Agree	Strongly disagree	Agree	Disagree	Male	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
R_1CKph0MYTRsNGsg	Fall 2022	Agree	My goal is to go to school for a medical degree (M.D.).	Not important	Moderately important	Moderately important	Moderately important	Moderately important	Moderately important	Very important	Very important	Moderately important	Moderately important	Much	Some	Little	Much	Much	None	Some	Much	Extensive	Much	None	Little	Much	Some	Some	Little	Much	Little	Much	Extensive	Much	Much	Some	Much	None	Agree	Neutral	Agree	Disagree	Disagree	Disagree	Strongly disagree	Disagree	Neutral	Agree	Neutral	Disagree	Agree	Neutral	Disagree	Disagree	Disagree	Agree	Neutral	Agree	Strongly agree	Strongly disagree	3	3	4	2	2	4	5	3	5	6	Female	White	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal is to go to school for other health professions.	None	None	Extensive	Some	Extensive	Extensive	Some	Much	Extensive	Much	Some	Much	Much	Much	Some	Much	Much	Some	Little	None	None	None	Some	Extensive	Much	Small gain	Large gain	Moderate gain	Large gain	Moderate gain	Moderate gain	Large gain	Moderate gain	Large gain	Large gain	Moderate gain	Moderate gain	Very large gain	Very large gain	Small gain	Very large gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Small gain	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Strongly agree	Strongly agree	Disagree	Disagree	Disagree	Disagree	Disagree	Neutral	Agree	Strongly disagree	Neutral	Agree	Neutral	Disagree	Disagree	Strongly disagree	Agree	Neutral	Agree	Agree	Strongly disagree	Female	White	I am a first-year college undergraduate.	No	none	I am not sure
R_25LoEk3ElaMBGMr	Fall 2022	Agree	My goal is to go to graduate school for a Ph.D. degree in a biology-related field	Very important	Very important	Very important	Very important	Very important	Moderately important	Very important	Very important	Not important	NA	Some	Little	Little	Some	Some	Little	Little	Some	Some	Some	Little	Some	Some	Little	Some	Some	Some	Some	Some	Some	Little	Much	Much	Some	None	Agree	Neutral	Agree	Neutral	Neutral	Disagree	Disagree	Disagree	Neutral	Agree	Agree	Neutral	Agree	Agree	Disagree	Disagree	Disagree	Agree	Agree	Disagree	Agree	Disagree	5	4	4	2	4	3	5	4	4	3	Female	Black or African American	I am a first-year college undergraduate.	Yes	Biology	Definitely yes	My goal is to go to graduate school for a Masters Degree in the life sciences	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Much	Little	Much	Much	Much	Much	Much	Some	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Moderate gain	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Neutral	Neutral	Neutral	Disagree	Neutral	Agree	Agree	Agree	Disagree	Agree	Agree	Agree	Neutral	Disagree	Agree	Agree	Disagree	Agree	Disagree	Female	Black or African American	I am a first-year college undergraduate.	Yes	Biology	Definitely yes
